Producing: JOB Id = 0, Burst Time = 29, Remaining Time = 29, Priority = 6 (Jobs Produced = 1, Jobs in buffer = 1)
Producing: JOB Id = 1, Burst Time = 73, Remaining Time = 73, Priority = 5 (Jobs Produced = 2, Jobs in buffer = 2)
Producing: JOB Id = 2, Burst Time = 24, Remaining Time = 24, Priority = 5 (Jobs Produced = 3, Jobs in buffer = 3)
Producing: JOB Id = 3, Burst Time = 56, Remaining Time = 56, Priority = 2 (Jobs Produced = 4, Jobs in buffer = 4)
Producing: JOB Id = 4, Burst Time = 70, Remaining Time = 70, Priority = 1 (Jobs Produced = 5, Jobs in buffer = 5)
Producing: JOB Id = 5, Burst Time = 42, Remaining Time = 42, Priority = 7 (Jobs Produced = 6, Jobs in buffer = 6)
Producing: JOB Id = 6, Burst Time = 6, Remaining Time = 6, Priority = 9 (Jobs Produced = 7, Jobs in buffer = 7)
Producing: JOB Id = 7, Burst Time = 96, Remaining Time = 96, Priority = 6 (Jobs Produced = 8, Jobs in buffer = 8)
Producing: JOB Id = 8, Burst Time = 43, Remaining Time = 43, Priority = 6 (Jobs Produced = 9, Jobs in buffer = 9)
Producing: JOB Id = 9, Burst Time = 80, Remaining Time = 80, Priority = 6 (Jobs Produced = 10, Jobs in buffer = 10)
Thread 0 removes: JOB ID: 4, Start time = 0, End time = 70, Priority = 1, Remaining Time = 0
Thread 0 removes: JOB ID: 3, Start time = 70, End time = 126, Priority = 2, Remaining Time = 0
Thread 0 removes: JOB ID: 1, Start time = 126, End time = 151, Priority = 5, Remaining Time = 48
Thread 0 removes: JOB ID: 2, Start time = 151, End time = 175, Priority = 5, Remaining Time = 0
Thread 0 removes: JOB ID: 0, Start time = 175, End time = 200, Priority = 6, Remaining Time = 4
Thread 0 removes: JOB ID: 7, Start time = 200, End time = 225, Priority = 6, Remaining Time = 71
Thread 0 removes: JOB ID: 8, Start time = 225, End time = 250, Priority = 6, Remaining Time = 18
Thread 0 removes: JOB ID: 9, Start time = 250, End time = 275, Priority = 6, Remaining Time = 55
Thread 0 removes: JOB ID: 0, restart time = 275, End time = 279, Priority = 6, Remaining Time = 0
Thread 0 removes: JOB ID: 7, restart time = 279, End time = 304, Priority = 6, Remaining Time = 46
Thread 0 removes: JOB ID: 8, restart time = 304, End time = 322, Priority = 6, Remaining Time = 0
Thread 0 removes: JOB ID: 9, restart time = 322, End time = 347, Priority = 6, Remaining Time = 30
Thread 0 removes: JOB ID: 7, restart time = 347, End time = 372, Priority = 6, Remaining Time = 21
Thread 0 removes: JOB ID: 9, restart time = 372, End time = 397, Priority = 6, Remaining Time = 5
Thread 0 removes: JOB ID: 7, restart time = 397, End time = 418, Priority = 6, Remaining Time = 0
Thread 0 removes: JOB ID: 9, restart time = 418, End time = 423, Priority = 6, Remaining Time = 0
Thread 0 removes: JOB ID: 5, Start time = 423, End time = 465, Priority = 7, Remaining Time = 0
Thread 0 removes: JOB ID: 6, Start time = 465, End time = 471, Priority = 9, Remaining Time = 0
Thread 0 removes: JOB ID: 0, Start time = 471, End time = 350, Priority = -38, Remaining Time = 0
Producing: JOB Id = 10, Burst Time = 99, Remaining Time = 99, Priority = 8 (Jobs Produced = 11, Jobs in buffer = 2)
Producing: JOB Id = 11, Burst Time = 61, Remaining Time = 61, Priority = 9 (Jobs Produced = 12, Jobs in buffer = 3)
Producing: JOB Id = 12, Burst Time = 27, Remaining Time = 27, Priority = 0 (Jobs Produced = 13, Jobs in buffer = 4)
Producing: JOB Id = 13, Burst Time = 45, Remaining Time = 45, Priority = 3 (Jobs Produced = 14, Jobs in buffer = 5)
Producing: JOB Id = 14, Burst Time = 92, Remaining Time = 92, Priority = 5 (Jobs Produced = 15, Jobs in buffer = 6)
Producing: JOB Id = 15, Burst Time = 33, Remaining Time = 33, Priority = 2 (Jobs Produced = 16, Jobs in buffer = 7)
Thread 0 removes: JOB ID: 12, Start time = 0, End time = 25, Priority = 0, Remaining Time = 2
Thread 0 removes: JOB ID: 12, restart time = 25, End time = 27, Priority = 0, Remaining Time = 0
Thread 0 removes: JOB ID: 15, Start time = 27, End time = 60, Priority = 2, Remaining Time = 0
Thread 0 removes: JOB ID: 13, Start time = 60, End time = 105, Priority = 3, Remaining Time = 0
Thread 0 removes: JOB ID: 14, Start time = 105, End time = 197, Priority = 5, Remaining Time = 0
Thread 0 removes: JOB ID: 10, Start time = 197, End time = 296, Priority = 8, Remaining Time = 0
Thread 0 removes: JOB ID: 11, Start time = 296, End time = 357, Priority = 9, Remaining Time = 0
Producing: JOB Id = 16, Burst Time = 55, Remaining Time = 55, Priority = 8 (Jobs Produced = 17, Jobs in buffer = 1)
Producing: JOB Id = 17, Burst Time = 96, Remaining Time = 96, Priority = 7 (Jobs Produced = 18, Jobs in buffer = 2)
Producing: JOB Id = 18, Burst Time = 74, Remaining Time = 74, Priority = 6 (Jobs Produced = 19, Jobs in buffer = 3)
Producing: JOB Id = 19, Burst Time = 14, Remaining Time = 14, Priority = 2 (Jobs Produced = 20, Jobs in buffer = 4)
Producing: JOB Id = 20, Burst Time = 52, Remaining Time = 52, Priority = 3 (Jobs Produced = 21, Jobs in buffer = 5)
Producing: JOB Id = 21, Burst Time = 82, Remaining Time = 82, Priority = 9 (Jobs Produced = 22, Jobs in buffer = 6)
Producing: JOB Id = 22, Burst Time = 78, Remaining Time = 78, Priority = 7 (Jobs Produced = 23, Jobs in buffer = 7)
Producing: JOB Id = 23, Burst Time = 60, Remaining Time = 60, Priority = 4 (Jobs Produced = 24, Jobs in buffer = 8)
Producing: JOB Id = 24, Burst Time = 30, Remaining Time = 30, Priority = 0 (Jobs Produced = 25, Jobs in buffer = 9)
Producing: JOB Id = 25, Burst Time = 75, Remaining Time = 75, Priority = 6 (Jobs Produced = 26, Jobs in buffer = 10)
Thread 0 removes: JOB ID: 24, Start time = 0, End time = 25, Priority = 0, Remaining Time = 5
Thread 0 removes: JOB ID: 24, restart time = 25, End time = 30, Priority = 0, Remaining Time = 0
Thread 0 removes: JOB ID: 19, Start time = 30, End time = 44, Priority = 2, Remaining Time = 0
Thread 0 removes: JOB ID: 20, Start time = 44, End time = 96, Priority = 3, Remaining Time = 0
Thread 0 removes: JOB ID: 23, Start time = 96, End time = 156, Priority = 4, Remaining Time = 0
Thread 0 removes: JOB ID: 18, Start time = 156, End time = 181, Priority = 6, Remaining Time = 49
Thread 0 removes: JOB ID: 25, Start time = 181, End time = 206, Priority = 6, Remaining Time = 50
Thread 0 removes: JOB ID: 18, restart time = 206, End time = 231, Priority = 6, Remaining Time = 24
Thread 0 removes: JOB ID: 25, restart time = 231, End time = 256, Priority = 6, Remaining Time = 25
Thread 0 removes: JOB ID: 18, restart time = 256, End time = 280, Priority = 6, Remaining Time = 0
Thread 0 removes: JOB ID: 25, restart time = 280, End time = 305, Priority = 6, Remaining Time = 0
Thread 0 removes: JOB ID: 22, Start time = 305, End time = 330, Priority = 7, Remaining Time = 53
Thread 0 removes: JOB ID: 17, Start time = 330, End time = 355, Priority = 7, Remaining Time = 71
Thread 0 removes: JOB ID: 22, restart time = 355, End time = 380, Priority = 7, Remaining Time = 28
Thread 0 removes: JOB ID: 17, restart time = 380, End time = 405, Priority = 7, Remaining Time = 46
Thread 0 removes: JOB ID: 22, restart time = 405, End time = 430, Priority = 7, Remaining Time = 3
Thread 0 removes: JOB ID: 17, restart time = 430, End time = 455, Priority = 7, Remaining Time = 21
Thread 0 removes: JOB ID: 22, restart time = 455, End time = 458, Priority = 7, Remaining Time = 0
Thread 0 removes: JOB ID: 17, restart time = 458, End time = 479, Priority = 7, Remaining Time = 0
Thread 0 removes: JOB ID: 16, Start time = 479, End time = 534, Priority = 8, Remaining Time = 0
Thread 0 removes: JOB ID: 21, Start time = 534, End time = 616, Priority = 9, Remaining Time = 0
Producing: JOB Id = 26, Burst Time = 47, Remaining Time = 47, Priority = 0 (Jobs Produced = 27, Jobs in buffer = 5)
Producing: JOB Id = 27, Burst Time = 63, Remaining Time = 63, Priority = 3 (Jobs Produced = 28, Jobs in buffer = 6)
Producing: JOB Id = 28, Burst Time = 51, Remaining Time = 51, Priority = 0 (Jobs Produced = 29, Jobs in buffer = 7)
Producing: JOB Id = 29, Burst Time = 50, Remaining Time = 50, Priority = 1 (Jobs Produced = 30, Jobs in buffer = 8)
Producing: JOB Id = 30, Burst Time = 16, Remaining Time = 16, Priority = 5 (Jobs Produced = 31, Jobs in buffer = 9)
Producing: JOB Id = 31, Burst Time = 60, Remaining Time = 60, Priority = 7 (Jobs Produced = 32, Jobs in buffer = 10)
Thread 0 removes: JOB ID: 26, Start time = 0, End time = 25, Priority = 0, Remaining Time = 22
Thread 0 removes: JOB ID: 28, Start time = 25, End time = 50, Priority = 0, Remaining Time = 26
Thread 0 removes: JOB ID: 26, restart time = 50, End time = 72, Priority = 0, Remaining Time = 0
Thread 0 removes: JOB ID: 28, restart time = 72, End time = 97, Priority = 0, Remaining Time = 1
Thread 0 removes: JOB ID: 28, restart time = 97, End time = 98, Priority = 0, Remaining Time = 0
Thread 0 removes: JOB ID: 29, Start time = 98, End time = 148, Priority = 1, Remaining Time = 0
Thread 0 removes: JOB ID: 27, Start time = 148, End time = 211, Priority = 3, Remaining Time = 0
Thread 0 removes: JOB ID: 30, Start time = 211, End time = 227, Priority = 5, Remaining Time = 0
Thread 0 removes: JOB ID: 31, Start time = 227, End time = 287, Priority = 7, Remaining Time = 0
Producing: JOB Id = 32, Burst Time = 84, Remaining Time = 84, Priority = 5 (Jobs Produced = 33, Jobs in buffer = 4)
Producing: JOB Id = 33, Burst Time = 44, Remaining Time = 44, Priority = 9 (Jobs Produced = 34, Jobs in buffer = 5)
Producing: JOB Id = 34, Burst Time = 5, Remaining Time = 5, Priority = 7 (Jobs Produced = 35, Jobs in buffer = 6)
Producing: JOB Id = 35, Burst Time = 1, Remaining Time = 1, Priority = 5 (Jobs Produced = 36, Jobs in buffer = 7)
Producing: JOB Id = 36, Burst Time = 10, Remaining Time = 10, Priority = 5 (Jobs Produced = 37, Jobs in buffer = 8)
Producing: JOB Id = 37, Burst Time = 12, Remaining Time = 12, Priority = 7 (Jobs Produced = 38, Jobs in buffer = 9)
Producing: JOB Id = 38, Burst Time = 57, Remaining Time = 57, Priority = 4 (Jobs Produced = 39, Jobs in buffer = 10)
Thread 0 removes: JOB ID: 38, Start time = 0, End time = 57, Priority = 4, Remaining Time = 0
Thread 0 removes: JOB ID: 35, Start time = 57, End time = 58, Priority = 5, Remaining Time = 0
Thread 0 removes: JOB ID: 36, Start time = 58, End time = 68, Priority = 5, Remaining Time = 0
Thread 0 removes: JOB ID: 32, Start time = 68, End time = 93, Priority = 5, Remaining Time = 59
Thread 0 removes: JOB ID: 32, restart time = 93, End time = 118, Priority = 5, Remaining Time = 34
Thread 0 removes: JOB ID: 32, restart time = 118, End time = 143, Priority = 5, Remaining Time = 9
Thread 0 removes: JOB ID: 32, restart time = 143, End time = 152, Priority = 5, Remaining Time = 0
Thread 0 removes: JOB ID: 37, Start time = 152, End time = 164, Priority = 7, Remaining Time = 0
Thread 0 removes: JOB ID: 34, Start time = 164, End time = 169, Priority = 7, Remaining Time = 0
Thread 0 removes: JOB ID: 33, Start time = 169, End time = 213, Priority = 9, Remaining Time = 0
Producing: JOB Id = 39, Burst Time = 7, Remaining Time = 7, Priority = 0 (Jobs Produced = 40, Jobs in buffer = 4)
Producing: JOB Id = 40, Burst Time = 8, Remaining Time = 8, Priority = 8 (Jobs Produced = 41, Jobs in buffer = 5)
Producing: JOB Id = 41, Burst Time = 16, Remaining Time = 16, Priority = 8 (Jobs Produced = 42, Jobs in buffer = 6)
Producing: JOB Id = 42, Burst Time = 15, Remaining Time = 15, Priority = 4 (Jobs Produced = 43, Jobs in buffer = 7)
Producing: JOB Id = 43, Burst Time = 25, Remaining Time = 25, Priority = 1 (Jobs Produced = 44, Jobs in buffer = 8)
Producing: JOB Id = 44, Burst Time = 81, Remaining Time = 81, Priority = 9 (Jobs Produced = 45, Jobs in buffer = 9)
Producing: JOB Id = 45, Burst Time = 7, Remaining Time = 7, Priority = 0 (Jobs Produced = 46, Jobs in buffer = 10)
Thread 0 removes: JOB ID: 39, Start time = 0, End time = 7, Priority = 0, Remaining Time = 0
Thread 0 removes: JOB ID: 45, Start time = 7, End time = 14, Priority = 0, Remaining Time = 0
Thread 0 removes: JOB ID: 43, Start time = 14, End time = 39, Priority = 1, Remaining Time = 0
Thread 0 removes: JOB ID: 42, Start time = 39, End time = 54, Priority = 4, Remaining Time = 0
Thread 0 removes: JOB ID: 41, Start time = 54, End time = 70, Priority = 8, Remaining Time = 0
Thread 0 removes: JOB ID: 40, Start time = 70, End time = 78, Priority = 8, Remaining Time = 0
Thread 0 removes: JOB ID: 44, Start time = 78, End time = 159, Priority = 9, Remaining Time = 0
